Review_Title,Review_Text,Verified_Buyer,Review_Date,Review_Location,Review_Upvotes,Review_Downvotes,Product,Brand,Scrape_Date
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Outstanding exfoliate esp when combined,"Outstanding exfoliate esp when combined with a dab of Cleansing gel. Leaves the face feeling smooth, clean and refreshed.",Yes,10 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
mindblowingly GOOD!,I was gifted by Dermalogica. My skin has never looked smoother and felt this baby soft! WOW this is such a fantastic product. I tend to use it every other day to make sure I remove dead skin cells and I've been seeing such great results.,No,1 year ago,New York,0,0,Daily Microfoliant,Dermalogica,3/27/23
Refreshing,"Easy to use, works amazing help keep my skin young and refreshed",No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Made my skin itch,Powder was supposed to form a paste- it did not. This product irritated my skin and immediately after use caused it to itch.,Yes,5 years ago,Bethesda MD,0,1,Daily Microfoliant,Dermalogica,3/27/23
I LOVE IT!!,I LOVE IT!! I was dealing with adult acne and this help lighten up my acne scares and clear them up. I love this product!!,Yes,5 years ago,Litchfield Park AZ,1,0,Daily Microfoliant,Dermalogica,3/27/23
Great for Mens too!!,I bought it for my husband and it's great and he loves it:),Yes,3 years ago,New York,0,0,Daily Superfoliant,Dermalogica,3/27/23
I would NOT purchase this product,I would NOT purchase this product If you have dry and oily skin or have acne prone skin. it made me break out all around my cheeks and jawline. I used this only 2 times a week for over a month since I have sensitive skin and it did nothing but create more trouble on my face.,No,3 years ago,Monterey Ca,2,1,Daily Microfoliant,Dermalogica,3/27/23
Smell ☹️,Smells horrific. Won't repurchase.,No,3 years ago,Chicago,0,2,Daily Superfoliant,Dermalogica,3/27/23
Unfortunately didn't work for me,"I think the idea behind this product is great and I just wish it worked for my skin! Unfortunately I used it once and woke up with a few spots on my face so waited a week to try again, tried and the next morning woke up with a rash on my chin. I also found that as the product is dark it sunk into a few of my pores and was left with what looked like blackheads as the product is a dark powder. When I received the product free for testing purposes I was not aware that if you have sensitive skin it's not the best thing to use as it's quite a powerful product!",No,5 years ago,london,0,0,Daily Superfoliant,Dermalogica,3/27/23
very clean,"I used it to clean my face skin,very clean and comfortable,but you can't used it everyday,because it is has little frosted inside.",No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Great Product!,"I loved this product. It's gentle enough to use every day, and I felt like my skin felt very clean and smooth after a few days of use. I have acne prone skin and this didn't cause me to break out. Very happy.",No,1 year ago,South Carolina,0,0,Daily Microfoliant,Dermalogica,3/27/23
From a Picky Skeptic to One Who Tells You to Go Get One,"Alright guys! I'm picky and was tired of getting skin care that was hyped up and overpriced. Brand names were charging for their name and drug store products were hit and misses. So back to the review. I went into ULTA with very dry and flaky skin. When I say dry and flaky, the dessert is what you should picture. I had foundation on and you could really see how bad it was. I have combination skin. An oily T-Zone, dry around and on my nose, my chin, and also some on my temples. The rest is normal. I had an amazing girl listen to me and only for that reason I gave Dermalogica a try. I purchased the gel cleanser, this Thermafoliant, and the oil-free face lotion. I though if I didn't like it, I will bring it back. I was diligent to do my part. I started immediately. You guys, by day four, I was blown away! After day four, I put my foundation on, and I saw maybe two little spots of dryness and definitely no flaking. This thermafoliant feels so amazing when you use it. When you put it on your skin with water, it warms up, and it feels like a little spa day for your face. The grit is a perfect size and it does not scratch your face but it does the perfect job of exfoliating your face. With as much dead skin as I had on my face, I cannot believe that I saw such a quick turnaround and I am in my late thirties. I did not use any other products other than the three I've mentioned. It has been around three weeks now and my skin has never looked any better. I know the price is up there but this product will last you for quite a long time. If you're like me and like shopping online, I hope this review helps. If you get a chance to stop by an ULTA store, ask them to give you a tiny drop of this so you can feel how it warms up and exfoliates on the top of your hand.",No,5 years ago,Spartanburg SC,4,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
It really is super!,"This product is really fantastic. I found it to be non-irritating on my dry & sensitive skin and it gently exfoliated it, leaving my skin feeling amazingly soft and smooth. It didn't dry it out or leave it feeling tight at all either, which I've experienced with some other exfoliants. I received this product free for testing purposes.",No,5 years ago,Staffs,1,0,Daily Superfoliant,Dermalogica,3/27/23
best exfoliator,"I love this exfoliator so much, just after one time use you can already feel the difference on your face, like what the heck, amazing lol. even though its pricey I'd buy it again.",No,3 years ago,woodburn,1,0,Daily Superfoliant,Dermalogica,3/27/23
Obsessed!!,Absolutely obsessed with this Daily Superfoliant!! It feels great and leaves my skin feeling so soft. Such a great representation of the brand. Can't wait to continue trying more products from this line.,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Worth it,I was surprised at how well this works to instantly make my skin feel so soft and extra clean. I only use it on the days that I wear makeup to make sure my face is completely clean. Not abrasive and I like how the small bottle will last for a long time. ,No,1 year ago,Redondo Beach,0,0,Daily Microfoliant,Dermalogica,3/27/23
Go to!,This is my go to cleanser. Every time i don't use it my skin tells me it's angry!! Perfect for dry skin.,No,11 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
See the results the first time you use it,Excellent product. You see the result the first time you use it. Expensive product but worth every cent.,Yes,9 years ago,"Chicago, IL, USA",0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
great for everyday,"I love this! It's a perfect everyday microfoliant. It works well on my skin, and is a great product. I would recommend it if you suffer from hyperpigmentation and need to add something to your daily routine to help combat that.",No,1 year ago,"orlando, fl",0,0,Daily Microfoliant,Dermalogica,3/27/23
Love this mask,I just used my fingers and rubbed mask on clean damp skin. Left on for 5 mins and then wet fingers and rubbed it into my skin and then rinsed off. My skin was left feeling so soft and smooth and looking great. The texture of the mask has little spheres and it smells great. I would definitely recommend giving it a try!,No,2 years ago,Iowa,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Great exfoliant,I love this so much,No,6 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
It's hydrating,I've used this product a few times and I haven't noticed that it's exfoliating my skin much. I do notice that it's hydrating and leaves my face feeling fresh. I'll continue using this mask especially since with the colder temperatures my face will need the extra moisture,No,2 years ago,"Riverside,Ca",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
I buy this product regularly!,Makes my skin feel so soft!,Yes,8 years ago,"Tucson, AZ",0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
An exfoliator that actually works :),"I got sent the Superfoliant to test out by Influenster. I realized that the product was a bit harsh to use everyday so I spaced the usage to about once every week or two weeks, and just after one use you can see a change in skin texture. It also helps prevent breakouts and leaves my skin feeling rejuvenated and new ( I use the skin smoothing cream and other products afterwards to avoid dryness and sensitivity)",No,5 years ago,London,0,0,Daily Superfoliant,Dermalogica,3/27/23
Looove This!!,I had a mini facial done and the person used this product to exfoliate and I fell in love with it!! Like your skin feels super clean and it smells like baby food and I highly recommend this product!!!,No,2 years ago,"Pearsall, Tx",2,0,Daily Microfoliant,Dermalogica,3/27/23
Great exfoliant,I love the Dermologica Daily Exfoliant. It exfoliates well and is very gentle on skin.,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Not meant for sensitive skin with acne,I love dermalogic products so I was very excited to try this....Could only keep it on for about 3 mins when it started to burn...made my sink look worse....Very dissapointed....Use caution if you have dry skin,No,7 months ago,Undisclosed,2,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
I'm a big fan.,"I like the way this product is packaged, it's way less messy than jars. It works well and my face feels so great after using it.",No,2 years ago,NY,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Great product. A staple in this household!,I love this product and make my boyfriend use it on Friday nights when he comes to stay the weekend. He works in chemicals during the week and so i want him to get those pores clean! He now loves it too!,Yes,1 year ago,North Carolina,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Intensive Moisture Cleanser -- Not Impressed,"I've used the Essential Cleansing Solution Cleanser for years and absolutely loved it - it was the best cleanser ever! Never had any issues with it. However, when trying to order another bottle I was told that it had been discontinued and replaced by the Intensive Moisture Cleanser. So, I gave the new cleanser a try -- this does NOT compare! For me, my dry skin is left feeling very dry, and not nourished at all as indicated in the description. Also, the smell of this cleanser leaves me feeling like I am going to have some sort of an allergic reaction. I am hopelessly lost without my Essential Cleansing Solution. Please bring it back.",No,4 years ago,"Media, PA",10,0,Daily Superfoliant,Dermalogica,3/27/23
Love this product!,I have used Dermologica for many years and have always lived this product. My skin feels amazing!,Yes,2 years ago,"La Plata, MD",0,0,Daily Superfoliant,Dermalogica,3/27/23
Day 1 and I am SOLD!,"This is only day 1 of using the product (I used it last night before bed) and my skin has NEVER been this soft before. I noticed brightening as well. This is only day one, so I don't want to claim this as my holy grail exfoliator just yet, but I am excited to see what happens the more I use it. I am 25, female, and have very oily, acne-prone skin. I used to suffer with breakouts horribly from age 21 to 23. Now, I only break out right before my period, and I am hoping using this in combination with oil reducing toners will reduce those breakouts as well. I am also a makeup artist, so my skin is no stranger to clogged pores. I am hoping this will help keep my skin clear, clean, soft, & balanced. So far it is! I cannot get over how soft my face feels! Baby smooth!",No,4 years ago,"New York, New York",2,0,Daily Microfoliant,Dermalogica,3/27/23
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Amazing product,"This product leaves your skin looking smooth and hydrated . It also has a light scent of cucumber and bamboo. It's convenient for those on a time crunch, as it only takes 5 minutes to work it magic. I received this as complimentary product.",No,2 years ago,Los Angeles,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Great,I love this product. It makes my skin feel so soft and hydrated. I highly recommend adding this to your skincare routine. A little product also goes a long way. This product was gifted by Dermalogica.,No,1 year ago,NYC,0,0,Daily Microfoliant,Dermalogica,3/27/23
Horrible reaction,"This causes me to break out after each use, strips my oils, causes residual irritation and redness. I'm going back to PTR.",No,7 months ago,NC,0,0,Daily Superfoliant,Dermalogica,3/27/23
"Love, love this product!!",This was a repurchase because I've been using it for 8 years now. I stopped using for a while but started again when I started breaking out and had hyper-pigmentation problems again. This always help to take it away while still being gentle on my sensitive skin. Will all ways repurchase this product no matter how much it costs.,Yes,7 years ago,"Clarksville, MD",0,0,Daily Microfoliant,Dermalogica,3/27/23
Everyday Exfoliant,"Finally an exfoliator fit for everyday use! I use this pretty much everyday and absolutely love it. It's gentle enough, isn't rough on the skin and doesn't strip the skin of it's natural oils. My pores are barely visibly, my skin is glowing and it hasn't caused any breakouts (which is a massive plus for someone with sensitive, acne prone and very oily skin). I occasionaly mix this with the cleansing gel for an extra deep cleanse and I couldn't recommend it more! Love the packaging and a little really does go a long way!",No,5 years ago,London,0,0,Daily Superfoliant,Dermalogica,3/27/23
It is a good product.,It is a good product.,Yes,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
I will buy this again,"This is a great exfoliating product for aging skin, acne prone. It's not drying and yet it does exfoliate well. One of the. better products from Dermalogica",Yes,5 years ago,San Jose,3,0,Daily Superfoliant,Dermalogica,3/27/23
Love!!,This mask smells good and works great! The tingly feeling of clean skin is priceless!!,No,2 years ago,Colorado,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
My favorite,"My favorite product to help with my bumpy skin on my forehead, leaves it so smooth",Yes,5 years ago,Long Island,1,0,Daily Microfoliant,Dermalogica,3/27/23
I would buy and suggest other to use this product again.,The product is great for everyone to use on a daily basis. I love dermalogica products!,Yes,6 years ago,Pittsburgh Pa,0,0,Daily Microfoliant,Dermalogica,3/27/23
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
The best,I received this for free in exchange for my honest review. This Hyrdo Masque is everything! The packaging is great! Love that you a little goes a long way. The texture is amazing! Love how it leaves mg face so smooth and flawless! I recommend to everyone!,No,2 years ago,Chicago,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Gentle and efficient,"This product can be used sparingly to great effect. My skin feels cleansed, not scrubbed.",No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Smells like cat pee. Too,Smells like cat pee. Too abrasive on my sensitive skin.,Yes,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Wonderful product!,I was kind of skeptical that a powder would even work to exfoliate but I certainly was proven wrong. I used as directed and my skin felt and looked great! I will definitely add this as a staple to my skincare routine!,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Love this stuff,"My face was very dry with patches of flaky skin. I tried this daily exfoliate and am amazed at the results. It is very gentle, and does not burn like most exfoliates I have used. I have been using the essential cleansing solution to wash my face as well. My skin was patch free after three days. Love this stuff, and will purchase again. I've also been using the Dermalogica essential cleansing solution to wash my face as well. I'm impressed.",No,5 years ago,"Sacramento, Ca",1,1,Daily Microfoliant,Dermalogica,3/27/23
Made my face happy!,The Dermatological cleanser I got to try felt great! There are many cleansers that make my skin feel good but doesn't remove all my make up out removes all the make up but leaves my skin tight and itchy. I felt this Dermatological skin cleanser was perfect. I used it morning on naked skin and after a long day with eye make up. Especially waterproof mascara and eye liner.,No,4 years ago,"Newark, DE",1,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing product,"This product leaves your skin looking smooth and hydrated . It also has a light scent of cucumber and bamboo. It's convenient for those on a time crunch, as it only takes 5 minutes to work it magic. I received this as complimentary product.",No,2 years ago,Los Angeles,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Great exfoliater,Worked well foamed up nicely and the exfoliating particles dissolved well while doing it's job.,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing,"I didn't notice a difference until after 2 weeks of continuous usage. Really got rid of my acne and made my skin better over all. It is pricey, but it will last you a while. I have had mine for almost two months and it still is full even from using it literally every morning.",No,5 years ago,California,1,0,Daily Microfoliant,Dermalogica,3/27/23
Such a great concept for a product.,"This 'Daily Superfoliant' is unlike any other product I've used before..It comes in a powder and you have to mix it with water (damp hands) and it creates a paste. When you apply this to the skin and massage it in it gently exfoliates the skin. This is very gentle on the skin but it really does the job. It got rid of my dry patches and left my skin silky smooth. I'm so impressed with this product, its way better and less fuss then an exfoliating mask. I'd recommend it to a friend.",No,5 years ago,Essex,0,0,Daily Superfoliant,Dermalogica,3/27/23
Great,"Great daily exfoliant, brightens my skin nicely. I use it daily and massage for about a minute, sometimes longer, sometimes less - depends on how much time I how for my routine. But I'm always excited with result. Gifted by Dermalogica.",No,1 year ago,Albuquerque NM,0,0,Daily Microfoliant,Dermalogica,3/27/23
This Instensive Moisture Cleanser has,This Instensive Moisture Cleanser has become one of my steady skincare products. I switch to this cleanser when I notice my skin needs some extra care and moisture: when the seasons change and/or I notice my skin is too dry from other products. Leaves my face feeling extra clean and soft. I highly recommend this product.,Yes,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Good exfoliant,"I spoke to the store estetician during this purchase. She let me try it before I buy it. It has a very very fine grain. I bought it to help with milia spots (tiny white heads that get stuck under the skin after a pimple has healed). First wash your face, then while your face is still wet, put a bit of the dust in your palm and mix with just a few drops of water. Not enough water and it does dry on your face as you are massaging onto skin. I have had it for close to a week and although I don't see a major improvement just yet, I can tell that it is definitely helping remove dead layers of skin and getting those little buggers closer to the surface.",Yes,5 years ago,"Fargo, ND",0,0,Daily Microfoliant,Dermalogica,3/27/23
"Good, but won't be repurchasing","This was just fine! Not the most amazing exfoliant and I still prefer my chemical exfoliant over it, but it did what it claimed for the most part. I won't be repurchasing though!",No,2 years ago,"Denver, CO",1,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Favorite,Definitely love it! My skin face feels better after using it.,No,2 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Would absolutely buy this again,"This product is wonderful! Some masks you have to keep on for at least 10 minutes, this one takes 5 minutes so if you are in a hurry this one is perfect. Also it makes your skin feel extremely soft afterwards. I did have a small breakout after using it for the first time but that just means that it's getting out the impurities.",No,2 years ago,"Orlando, Fl",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Would absolutely buy this again,"This product is wonderful! Some masks you have to keep on for at least 10 minutes, this one takes 5 minutes so if you are in a hurry this one is perfect. Also it makes your skin feel extremely soft afterwards. I did have a small breakout after using it for the first time but that just means that it's getting out the impurities.",No,2 years ago,"Orlando, Fl",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Smoother skin!,This makes my skin look and feel SO smooth!,No,2 years ago,Murfreesboro,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"After using Precleanse, this cleanser","After using Precleanse, this cleanser is my next go to product. Skin feels clean and supple.",No,1 month ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Must-have skincare product,This microfoliant is my new skincare regime must-have. It makes my skin feel very soft and bright after use. It is gentle enough for daily use and I like to follow with Dermalogica's Vitamin C serum and moisturizer. My skin never looked healthier,No,1 year ago,"Orlando, FL",0,0,Daily Microfoliant,Dermalogica,3/27/23
Blackheads goodbye!,"Taking care of business! No matter how much i scrubbed and cleaned, nothing did the job until this warmed sensation came along! I love it once a week before my date when i want to be squeeky clean, or I should say ""polished"". It is simply the best and feels extra special.",Yes,9 years ago,"New York, NY, USA",0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I LOVE this Daily superfoliant!,I would highly recommend the daily super foliant it's my go to exfoliator. It's the perfect amount of rough with the smooth and leaves your skin super soft!,No,5 years ago,Devon,0,0,Daily Superfoliant,Dermalogica,3/27/23
Good product,"I try and really love it :heart_eyes:, I will bought more for my little girl",No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Love this !,"This product is amazing! I noticed a difference after 1-2 applications, and now my skin feels amazing and looks so much better.",No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this mask,I just used my fingers and rubbed mask on clean damp skin. Left on for 5 mins and then wet fingers and rubbed it into my skin and then rinsed off. My skin was left feeling so soft and smooth and looking great. The texture of the mask has little spheres and it smells great. I would definitely recommend giving it a try!,No,2 years ago,Iowa,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Silky and smooth,This product always refreshes the surface of my skin and makes it glow. Also my makeup goes on better after using it weekly. This is the 3rd time I have gotten it and will continue to use it. I love how my skin feels so Silky after I use it too!,No,1 year ago,Sc,0,0,Daily Microfoliant,Dermalogica,3/27/23
Love this stuff.,"I have dry skin, so often need to exfoliate but over exfoliation can do more harm than good. Not with this stuff! First off it's a powder!! Something I have never seen before, and it's gentle enough for me to use everyday. Mixed with a little bit of water this turns to a paste that you apply and rub over your face, my skin is always left feeling fresh and clean after I've used this. I was sent this product for the purpose of a review, but all views and opinions are my own.",No,5 years ago,Norfolk,0,0,Daily Superfoliant,Dermalogica,3/27/23
Just started using this and,Just started using this and my skin already feels very soft and supple and more radiate. Can't wait to see the progression.,No,1 year ago,Undisclosed,1,0,Daily Superfoliant,Dermalogica,3/27/23
"I would buy it again and again,","I'm useing every night,my skin is so smooth.Love it!",Yes,4 years ago,"Howell,NJ",1,0,Daily Microfoliant,Dermalogica,3/27/23
Keep coming back,"This is the OG of nice skincare for me! It's been a few years since I've used it, but now I'm wondering why I ever stopped! After washing my face with this, I always get a healthy glow from the gentle exfoliation!",No,1 year ago,"Charlotte, NC",0,0,Daily Microfoliant,Dermalogica,3/27/23
I love this product,This is one of my favorite exfoliating products. I use it dry or sometimes I add a bit of water and use it as a regular cleanser. My skin feels so clean and my pores are clean all the time. This has help my acne disappear.,No,1 year ago,Los Angeles,0,0,Daily Microfoliant,Dermalogica,3/27/23
