Review_Title,Review_Text,Review_Location,Product,Length,Word_count,mean_word_length,score,sentiment
Favorite Dermalogica product!,"['use', 'shower', 'around', 'twice', 'weekli', 'usual', 'whilst', 'wait', 'condition', 'soak', 'exfoli', 'bodi', 'super', 'sensit', 'skin', 'prone', 'blotch', 'oili', 'zone', 'product', 'amaz', 'thing', 'skin', 'hydrat', 'slough', 'dead', 'skin', 'cell', 'caus', 'zero', 'irrit', 'leav', 'skin', 'glow', 'like', 'realli', 'deep', 'facial', 'live', 'without', 'makeup', 'goe', 'much', 'smoother', 'afterward', 'also']",Undisclosed,Multi-Vitamin Thermafoliant,442,77,4.753246753246753,0.2732,1
Great product. Always feel gently,"['great', 'product', 'alway', 'feel', 'gentli', 'exfoli', 'recommend']",Undisclosed,Multi-Vitamin Thermafoliant,56,7,7.142857142857143,0.765,1
Best exfoliant,"['love', 'dermalogica', 'product', 'one', 'top', 'fave', 'multivitamin', 'thermofoli', 'exfoli', 'leav', 'skin', 'look', 'renew', 'rejuven', 'love', 'follow', 'multivitamin', 'power', 'recoveri', 'masqu', 'serious', 'feel', 'look', 'like', 'profession', 'facial', 'everytim']",Undisclosed,Multi-Vitamin Thermafoliant,296,48,5.1875,0.936,1
Best Thermafoliant Scrub,"['face', 'alway', 'look', 'smooth', 'subtl', 'refreshingli', 'clean', 'thermafoli', 'scrub']",Undisclosed,Multi-Vitamin Thermafoliant,92,14,5.642857142857143,0.4019,1
Recommendâ€¦.yes!,"['keep', 'pore', 'clean', 'help', 'prevent', 'breakout']",Undisclosed,Multi-Vitamin Thermafoliant,44,6,6.5,0.6705,1
Multivitamin thermafoliant,"['great', 'product', 'skin', 'feel', 'like', 'silk', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,54,10,4.5,0.765,1
Great product,"['use', 'product', '5', 'year', 'like', 'alot', 'scub', 'work', 'welland', 'skin', 'feel', 'like', 'silk', 'afer', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,108,22,3.9545454545454546,0.6124,1
My Favorite Exfoliant!,"['use', 'thermafoli', '2', 'year', 'love', 'heat', 'appli', 'leav', 'skin', 'feel', 'soft', 'smooth']",Undisclosed,Multi-Vitamin Thermafoliant,132,26,4.115384615384615,0.6369,1
Love this!,['love'],Undisclosed,Multi-Vitamin Thermafoliant,10,2,4.5,0.6369,1
Love it!,"['feel', 'product', 'start', 'work', 'minut', 'hit', 'skin']",Undisclosed,Multi-Vitamin Thermafoliant,68,14,3.9285714285714284,0.0,0
Amazing,"['love', 'warm', 'tingl', 'sensat', 'realli', 'get', 'deep', 'pore', 'leav', 'skin', 'feel', 'smooth', 'refresh']",Undisclosed,Multi-Vitamin Thermafoliant,131,25,4.28,0.7269,1
Feels warm when it goes,"['feel', 'warm', 'goe', 'exfoli', 'wonder', 'even', 'fingertip', 'get', 'exfoli']",Undisclosed,Multi-Vitamin Thermafoliant,91,14,5.571428571428571,0.2263,1
Thermfoliant love,"['initi', 'warmth', 'quit', 'surpris', 'leav', 'face', 'feel', 'silki', 'smooth', 'love', 'product']",Undisclosed,Multi-Vitamin Thermafoliant,100,17,4.9411764705882355,0.802,1
My new baby skin,"['love', 'peel', 'gel', 'use', 'time', 'alreadi', 'see', 'result', 'skin', 'brighter', 'smoother', 'like', 'dri', 'face', 'work', 'wet', 'face', 'well', 'must']",Undisclosed,Multi-Vitamin Thermafoliant,188,42,3.5,0.886,1
Love this product! I couldn't,"['love', 'product', 'get', 'need', 'told', 'discontinu', 'cri', 'thank', 'back', 'place', 'last', 'order']",Undisclosed,Multi-Vitamin Thermafoliant,151,30,4.066666666666666,0.7717,1
Polish your skin,"['skin', 'feel', 'like', 'new', 'use', 'product', 'dead', 'cell', 'debri', 'remov']",Undisclosed,Multi-Vitamin Thermafoliant,77,14,4.571428571428571,-0.4215,0
Love the warming sensation when,"['love', 'warm', 'sensat', 'put', 'love', 'feel', 'skin', 'use', 'glad', 'brought', 'back']",Undisclosed,Multi-Vitamin Thermafoliant,120,25,3.84,0.9231,1
Really great exfoliator! My skin,"['realli', 'great', 'exfoli', 'skin', 'glow', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,55,9,5.222222222222222,0.6249,1
Best stuff ever and it smells good too,"['love', 'product', 'make', 'skin', 'feel', 'smooth']",Undisclosed,Multi-Vitamin Thermafoliant,53,11,3.909090909090909,0.6369,1
Favorite item,"['love', 'love', 'feel', 'like', 'chang', 'textur', 'skin', 'thank']",Undisclosed,Multi-Vitamin Thermafoliant,76,15,4.133333333333334,0.9246,1
Noticeable difference.,"['could', 'tel', 'notic', 'differ', 'skin', 'textur', 'less', 'week']",Undisclosed,Multi-Vitamin Thermafoliant,76,15,4.133333333333334,0.0,0
Only been using for three,"['use', 'three', 'week', 'definit', 'see', 'differ', 'skin', 'brighter', 'complexion', 'dark', 'spot', 'fade']",Undisclosed,Multi-Vitamin Thermafoliant,129,23,4.6521739130434785,0.3818,1
My skin has improved since,"['skin', 'improv', 'sinc', 'start', 'use', 'exfoli', 'total', 'recommend', 'also', 'great', 'oili', 'skin', 'great', 'buy', 'thank', 'dermalogica']",Undisclosed,Multi-Vitamin Thermafoliant,137,22,5.2727272727272725,0.9217,1
Love it,['love'],Undisclosed,Multi-Vitamin Thermafoliant,7,2,3.0,0.6369,1
My favorite product in the,"['favorit', 'product', 'line']",Undisclosed,Multi-Vitamin Thermafoliant,32,6,4.5,0.0,0
I love this product! The,"['love', 'product', 'thermafoli', 'great', 'scrub', 'help', 'exfoli', 'help', 'elimin', 'outbreak', 'pimpl', 'area', 'around', 'nose', 'creas', 'mouth', 'chin', 'blackhead', 'clog', 'pore', 'tend', 'gather', '55', 'product', 'still', 'mild', 'enough', 'irrit', 'skin', 'sensit', 'reactiv', 'sometim', 'use', 'sever', 'dermalogica', 'product', 'day', 'night', 'skin', 'routin', 'one', 'go', 'favorit']",Undisclosed,Multi-Vitamin Thermafoliant,483,91,4.318681318681318,0.9287,1
I do really like this,"['realli', 'like', 'exfoli', 'thing', 'fan', 'smell']",Undisclosed,Multi-Vitamin Thermafoliant,84,19,3.473684210526316,0.5859,1
Love the warming sensation and,"['love', 'warm', 'sensat', 'gentl', 'exfoli', 'leav', 'skin', 'soft', 'buy', 'repeat']",Undisclosed,Multi-Vitamin Thermafoliant,89,15,5.0,0.7269,1
To me this is a,"['treat', 'skin', 'make', 'skin', 'glow', 'feel', 'soft', 'smooth', 'love', 'sensat', 'give', 'massag', 'best', 'stuff', 'ever']",Undisclosed,Multi-Vitamin Thermafoliant,163,36,3.5555555555555554,0.9022,1
Best exfoliant I used as,"['best', 'exfoli', 'use', 'gentl']",Undisclosed,Multi-Vitamin Thermafoliant,37,8,3.75,0.6369,1
I love how this Thermafoliant,"['love', 'thermafoli', 'combin', 'physic', 'chemic', 'exfoli', 'first', 'time', 'use', 'beauti', 'regimen', 'sensat', 'fresh', 'feel', 'immedi', 'skin', 'look', 'feel', 'dramat', 'improv']",Undisclosed,Multi-Vitamin Thermafoliant,236,37,5.405405405405405,0.7579,1
LOVE IT!,"['product', 'except', 'older', 'skin', 'dri', 'flaki', 'bumpi', 'heat', 'exfoli', 'make', 'differ', 'smoother', 'softer', 'less', 'prone', 'dryness', 'love']",Undisclosed,Multi-Vitamin Thermafoliant,170,28,5.107142857142857,0.6041,1
A lovely product !!,"['absolut', 'must']",Undisclosed,Multi-Vitamin Thermafoliant,19,4,4.0,0.0,0
I use it three times,"['use', 'three', 'time', 'week', 'benefit', 'visibl', 'self', 'care', 'practic', 'look', 'forward']",Undisclosed,Multi-Vitamin Thermafoliant,108,21,4.190476190476191,0.7351,1
nice product,"['love', 'taht', 'ut', 'ah', 'vitamin']",Undisclosed,Multi-Vitamin Thermafoliant,25,5,4.2,0.7506,1
Great scrub,"['exfoli', 'work', 'great', 'far', 'like', 'combin', 'chemic', 'physic', 'aspect', 'skin', 'feel', 'smoother']",Undisclosed,Multi-Vitamin Thermafoliant,129,23,4.6521739130434785,0.765,1
Feels nice on the skin,"['love', 'warmth']",Undisclosed,Multi-Vitamin Thermafoliant,15,3,4.333333333333333,0.802,1
Excellent product,"['highli', 'effect']",Undisclosed,Multi-Vitamin Thermafoliant,18,3,5.333333333333333,0.0,0
"Feels wonderful, smells nice.","['feel', 'wonder', 'smell', 'nice']",Undisclosed,Multi-Vitamin Thermafoliant,29,4,6.5,0.4215,1
Amazing exfoliant,"['third', 'tube', 'exfoli', 'simpli', 'love', 'warmth', 'appli', 'face', 'use', 'week', 'textur', 'skin', 'improv', 'dramat']",Undisclosed,Multi-Vitamin Thermafoliant,186,38,3.9210526315789473,0.802,1
yes i would like the product again,"['use', 'product', 'week']",Verified Buyer,Multi-Vitamin Thermafoliant,29,7,3.2857142857142856,0.0,0
"53 years of age, and","['53', 'year', 'age', 'skin', 'amaz', 'use', 'product', 'week', 'skin', 'soft', 'suppl']",Undisclosed,Multi-Vitamin Thermafoliant,103,23,3.5217391304347827,0.0,0
The BEST exfoliator!,"['one', 'time', 'favorit', 'skincar', 'product', 'use', 'everi', 'morn', 'face', 'neck', 'sinc', 'launch', 'year', 'ago', 'keep', 'skin', 'radiant', 'make', 'goe', 'smoothli']",Undisclosed,Multi-Vitamin Thermafoliant,171,31,4.548387096774194,0.4767,1
I love this product. It,"['love', 'product', 'warm', 'skin', 'creami', 'exfoli']",Undisclosed,Multi-Vitamin Thermafoliant,81,17,3.823529411764706,0.7269,1
Face feels extra clean and,"['face', 'feel', 'extra', 'clean', 'smooth', 'love', 'heat', 'effect']",Undisclosed,Multi-Vitamin Thermafoliant,59,10,5.0,0.7845,1
My favorite exfoliate. You can,"['favorit', 'exfoli', 'realli', 'feel', 'thermal', 'effect']",Undisclosed,Multi-Vitamin Thermafoliant,62,10,5.3,0.0,0
multivitamin thermafoliant,"['happi', 'product', 'make', 'skin', 'glow']",Undisclosed,Multi-Vitamin Thermafoliant,54,11,4.0,0.0,0
This thermafoliant makes my skin,"['thermafoli', 'make', 'skin', 'soft', 'glowi']",Undisclosed,Multi-Vitamin Thermafoliant,47,8,5.0,0.0,0
I was worried it was,"['worri', 'go', 'rough', 'sensit', 'skin', 'complet', 'opposit', 'meanwhil', 'still', 'job']",Undisclosed,Multi-Vitamin Thermafoliant,128,25,4.16,0.0,0
I love how clean my skin feels after using this!,"['use', 'twice', 'week', 'make', 'skin', 'feel', 'clean', 'boyfriend', 'shave', 'head', 'regularli', 'also', 'use', 'exfoli', 'cleans', 'scalp', 'love', 'warm', 'sensat']",Undisclosed,Multi-Vitamin Thermafoliant,191,36,4.333333333333333,0.8316,1
Warming,"['want', 'multivitamin', 'power', 'recoveri', 'masqu', 'ask', 'store', 'talk', '2', 'differ', 'peopl', 'took', '1', '2', 'hr', 'check', 'told', 'order', 'multivitamin', 'thermafoli', 'instead', 'longer', 'masqu', 'realiz', 'got', 'home', 'check', 'line', 'case', 'sinc', 'one', 'come', 'via', 'mail', 'decid', 'tri', 'dermalogica', 'good', 'line', 'although', 'mask', 'warm', 'face', 'consid', 'hefti', 'price', 'certainli', 'better', 'bior', '6', 'individu', 'contain', 'mask', 'foil', 'packet', 'use', 'past', 'prefer', 'brick', 'mortar', 'store', 'soooo', 'much', 'anytim', 'order', 'store', 'alway', 'seem', 'hassl']",PA,Multi-Vitamin Thermafoliant,726,130,4.592307692307692,0.7906,1
Great product,"['great', 'exfoli', 'like', 'get', 'warm', 'also']",Undisclosed,Multi-Vitamin Thermafoliant,47,9,4.333333333333333,0.8176,1
great skin polisher,"['use', 'product', 'twice', 'weekli', 'conjunct', 'recoveri', 'mask', 'see', 'visabl', 'result', 'time', 'use', 'skin', 'glow']","colleyville, Tx",Multi-Vitamin Thermafoliant,146,27,4.444444444444445,0.0,0
So so smooth,"['bewar', 'slight', 'warm', 'sensat', 'tingl', 'also', 'make', 'sure', 'let', 'sit', 'minut', 'holi', 'moli', 'make', 'skin', 'feel', 'like', 'new', 'born', 'babi', 'booti']",TheBigCity,Multi-Vitamin Thermafoliant,162,31,4.258064516129032,0.6908,1
"Just love your product, never","['love', 'product', 'never', 'disappoint', 'alway', 'better', 'advertis']",Undisclosed,Multi-Vitamin Thermafoliant,73,10,6.4,0.6189,1
Tough yet Gentle,"['best', 'exfoli', 'found', 'husband', 'use', 'tough', 'enough', 'get', 'rid', 'stubborn', 'dead', 'skin', 'yet', 'gentl', 'enough', 'turn', 'skin', 'raw', 'pleasant', 'scent']",Undisclosed,Multi-Vitamin Thermafoliant,173,33,4.2727272727272725,0.0,0
The best exfoliant I have ever used,"['best', 'exfoli', 'ever', 'use', 'skin', 'love', 'heat', 'action', 'make', 'uniqu', 'great', 'use', 'long', 'time', 'noth', 'els', 'compar']",Undisclosed,Multi-Vitamin Thermafoliant,178,36,3.9722222222222223,0.926,1
Treat Yourself!,"['warm', 'good']",Undisclosed,Multi-Vitamin Thermafoliant,17,2,8.0,0.5859,1
Clean and fresh,"['like', 'cleans', 'mini', 'facial', 'skin', 'feel', 'clean', 'fresh', 'use', 'thermafoli', 'quick', 'pick', 'skin']",Undisclosed,Multi-Vitamin Thermafoliant,148,26,4.730769230769231,0.7579,1
My favorite product! My face,"['favorit', 'product', 'face', 'smooth', 'ever']",Undisclosed,Multi-Vitamin Thermafoliant,60,12,4.083333333333333,0.0,0
This cleanser is amazing- I,"['cleanser', 'amaz', 'love', 'warm', 'effect', 'gentl', 'exfoli', 'action', 'work', 'great', 'littl', 'goe', 'long', 'way']",Undisclosed,Multi-Vitamin Thermafoliant,130,23,4.695652173913044,0.8807,1
Burns off skin,"['use', 'skin', 'allerg', 'reaction', 'turn', 'red', 'next', 'day', 'got', 'extrem', 'dri']",Undisclosed,Multi-Vitamin Thermafoliant,90,15,5.066666666666666,0.0,0
Best Exfoliant,"['best', 'found']",Undisclosed,Multi-Vitamin Thermafoliant,28,6,3.8333333333333335,0.6369,1
Good to Go...,"['good', 'job', 'exfoli', 'skin']",California,Multi-Vitamin Thermafoliant,47,10,3.8,0.4404,1
Favorite Scrub,"['scrub', 'leav', 'skin', 'soft', 'use', 'face', 'cream', 'primer', 'make', 'look', 'great', 'love', 'warm', 'compon', 'like', 'mini', 'facial']",Undisclosed,Multi-Vitamin Thermafoliant,150,30,4.033333333333333,0.9136,1
Great wet - better dry,"['feel', 'like', 'skin', 'need', 'realli', 'good', 'scrub', 'use', 'shower', 'skin', 'dri', 'realli', 'feel', 'like', 'slough', 'soften', 'skin', 'well']",Undisclosed,Multi-Vitamin Thermafoliant,167,36,3.6666666666666665,0.8402,1
Love it!,['love'],Undisclosed,Multi-Vitamin Thermafoliant,8,2,3.5,0.6369,1
Please stop sending me promotions,"['pleas', 'stop', 'send', 'promot']",Undisclosed,Multi-Vitamin Thermafoliant,33,5,5.8,-0.296,0
This scrub helped me a,"['scrub', 'help', 'lot', 'clean', 'skin', 'excess', 'sebum']",Undisclosed,Multi-Vitamin Thermafoliant,68,15,3.6,0.6597,1
Best face scrub,"['best', 'face', 'scrub', 'sensit', 'skin']",Undisclosed,Multi-Vitamin Thermafoliant,39,7,4.714285714285714,0.6369,1
I'd like to cancel my,"['like', 'cancel', 'recur', 'shipment']",Undisclosed,Multi-Vitamin Thermafoliant,40,7,4.857142857142857,0.128,1
Great!! Will purchase again,"['great', 'purchas']",Undisclosed,Multi-Vitamin Thermafoliant,27,4,6.0,0.6249,1
LOVE,"['face', 'mask', 'use', 'anymor', 'good', 'use', 'around', '3', 'year', 'good']",oregon,Multi-Vitamin Thermafoliant,118,25,3.76,0.7003,1
great product,"['great', 'product']",Undisclosed,Multi-Vitamin Thermafoliant,13,2,6.0,0.6249,1
My favourite manual exfoliant. Obsessed,"['favourit', 'manual', 'exfoli', 'obsess', 'sugari', 'feel', 'warmth', 'product', 'sister', 'use', 'religi', 'third', 'tube', 'use', 'everi', 'day', 'go', 'easi', 'delic', 'area', 'face', 'extrem', 'effect', 'dri', 'skin', 'use', 'excess']",Undisclosed,Multi-Vitamin Thermafoliant,300,59,4.101694915254237,0.25,1
This scrub feels really good.,"['scrub', 'feel', 'realli', 'good', 'realli', 'goldilock', 'exfoli', 'harsh', 'gentl', 'great', 'warmth', 'littl', 'goe', 'long', 'way']",Undisclosed,Multi-Vitamin Thermafoliant,146,28,4.25,0.7964,1
Super cool surprise awaits you!,"['stuff', 'great', 'first', 'time', 'use', 'surpris', 'warm', 'effect', 'felt', 'good', 'face', 'use', 'product', '1', '2x', 'week', 'feel', 'though', 'see', 'differ', 'know', 'experi', 'use', 'treat', 'feel', 'amaz', 'smell', 'good', 'leav', 'skin', 'polish', 'soft']",Out west...,Multi-Vitamin Thermafoliant,326,67,3.8805970149253732,0.926,1
I've used this for 4,"['use', '4', '5', 'year', 'wonder', 'job', 'prevent', 'blackhead', 'older', 'skin']",Undisclosed,Multi-Vitamin Thermafoliant,99,20,4.0,0.0258,1
Love this! It doesn't warm,"['love', 'warm', 'much', 'thought', 'would', 'ok', 'gentl', 'make', 'skin', 'super', 'soft']",Undisclosed,Multi-Vitamin Thermafoliant,121,25,3.88,0.9042,1
Favourite product! Exfoliates like no,"['favourit', 'product', 'exfoli', 'like', 'product', 'ever', 'tri']",Undisclosed,Multi-Vitamin Thermafoliant,70,11,5.454545454545454,0.3612,1
Exfoliate,"['suggest', 'appli', 'dri', 'skin', 'feel', 'warm', 'sensat', 'leav', 'skin', 'feel', 'soft', 'smell', 'type', 'scent', 'form', 'thick', 'thick', 'easi', 'smooth', 'face']",Undisclosed,Multi-Vitamin Thermafoliant,222,49,3.5510204081632653,0.2263,1
Favorite,"['alway', 'favorit', 'mine', 'work', 'great']",Undisclosed,Multi-Vitamin Thermafoliant,47,9,4.333333333333333,0.6249,1
45 with 25 Year Old Skin,"['make', 'sure', 'never', 'run', 'exfoli', 'liter', 'make', 'skin', 'glow', '45', 'year', 'old', 'woman', 'wrinkl', 'use', 'dermalogica', 'brand', 'five', 'year', 'love']",Undisclosed,Multi-Vitamin Thermafoliant,187,38,3.9473684210526314,0.7579,1
I have used it for years,"['love', 'product', 'excel', 'exfoli', 'leav', 'skin', 'like', 'silk', 'remov', 'dead', 'skin', 'pore', 'skin', 'look', 'smoother', 'pore', 'less', 'notic', 'get', 'rid', 'buildup']",FL,Multi-Vitamin Thermafoliant,193,33,4.878787878787879,0.6597,1
Great product. A staple in this household!,"['love', 'product', 'make', 'boyfriend', 'use', 'friday', 'night', 'come', 'stay', 'weekend', 'work', 'chemic', 'week', 'want', 'get', 'pore', 'clean', 'love']",North Carolina,Multi-Vitamin Thermafoliant,203,42,3.857142857142857,0.9081,1
Love it,"['extrem', 'exfoli', 'work', 'wonder', 'sludg', 'dead', 'skin', 'cell', 'smell', 'littl', 'funki', 'heat', 'nice', 'though']",Undisclosed,Multi-Vitamin Thermafoliant,138,25,4.56,-0.3612,0
Great product. Skin feels very,"['great', 'product', 'skin', 'feel', 'smooth', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,53,9,5.0,0.6249,1
It scrubs nicely. My skin,"['scrub', 'nice', 'skin', 'feel', 'silki']",Undisclosed,Multi-Vitamin Thermafoliant,43,8,4.5,0.4215,1
Soft and smooth,"['love', 'exfoli', 'love', 'warm', 'featur', 'delic', 'enough', 'sensit', 'skin', 'leav', 'feel', 'like', 'silk']",Undisclosed,Multi-Vitamin Thermafoliant,125,21,5.0,0.9153,1
Luv it.,"['luv', 'harsh', 'tell', 'exfoli', 'job', 'would', 'recommend']",Undisclosed,Multi-Vitamin Thermafoliant,85,16,4.375,-0.1027,0
I love this exfoliant. I,"['love', 'exfoli', 'get', 'much', 'warm', 'skin', 'alway', 'feel', 'soft', 'great', 'afterward']",Undisclosed,Multi-Vitamin Thermafoliant,106,20,4.35,0.8807,1
Multivitamin Thermafoliant,"['sure', 'live', 'without', 'use', 'week', 'amaz', 'buildup', 'remov', 'leav', 'skin', 'readi', 'absorb', 'cream', 'make', 'evenli', 'use', 'less', 'product', 'definit', 'provid', 'skin', 'regener', 'improv', 'textur', 'smooth', 'suppl', 'brighter', 'appear']",Undisclosed,Multi-Vitamin Thermafoliant,315,55,4.745454545454545,0.5994,1
Skin brighter and pores are,"['skin', 'brighter', 'pore', 'shrink', 'use', 'use', 'wet', 'skin', 'otherwis', 'feel', 'strong', 'peel', 'effect']",Undisclosed,Multi-Vitamin Thermafoliant,134,25,4.4,0.7096,1
Favorite exfoliant,"['favorit', 'chemic', 'physic', 'exfoli', 'ever', 'use', 'see', 'result', 'moment', 'get', 'shower']",Undisclosed,Multi-Vitamin Thermafoliant,103,18,4.777777777777778,0.0,0
This is a product that,"['product', 'clean', 'face', 'well', 'gritti', 'feel', 'like']",Undisclosed,Multi-Vitamin Thermafoliant,78,17,3.6470588235294117,0.743,1
😊,"['feel', 'toasti', 'scrubbi']",Undisclosed,Multi-Vitamin Thermafoliant,24,4,5.25,0.0,0
Exfoliant,"['love', 'feel', 'warmth', 'leav', 'skin', 'feel', 'smooth']",Undisclosed,Multi-Vitamin Thermafoliant,64,12,4.416666666666667,0.802,1
Love this !,"['product', 'amaz', 'notic', 'differ', '1', '2', 'applic', 'skin', 'feel', 'amaz', 'look', 'much', 'better']",Undisclosed,Multi-Vitamin Thermafoliant,127,22,4.818181818181818,0.4404,1
Love this!,['love'],Undisclosed,Multi-Vitamin Thermafoliant,10,2,4.5,0.6369,1
My skin is so soft,"['skin', 'soft', 'smooth', 'way', 'feel', 'leav', 'facial']",Undisclosed,Multi-Vitamin Thermafoliant,65,14,3.7142857142857144,0.0,0
Highly recommended,"['one', 'dermalogica', 'best', 'product']",Undisclosed,Multi-Vitamin Thermafoliant,41,7,5.0,0.6369,1
Wow... I love it!!,"['absolut', 'love', 'product', 'thought', 'exfoli', 'product', 'complet', 'differ', 'experi', 'use', 'dermalogica', 'daili', 'exfoli', 'love', 'warm', 'aspect', 'product', 'everyth']",Undisclosed,Multi-Vitamin Thermafoliant,239,38,5.315789473684211,0.8834,1
The form is just right,"['form', 'right', 'leav', 'skin', 'feel', 'soft', 'fresh']",Undisclosed,Multi-Vitamin Thermafoliant,68,13,4.3076923076923075,0.3182,1
Great for my hyper-pigmentation and,"['great', 'hyper', 'pigment', 'help', 'refin', 'skin', 'textur', 'pore']",Undisclosed,Multi-Vitamin Thermafoliant,76,12,5.416666666666667,0.7783,1
Smells great,"['smell', 'great']",Undisclosed,Multi-Vitamin Thermafoliant,12,2,5.5,0.6249,1
"After the first time use,","['first', 'time', 'use', 'skin', 'alreadi', 'feel', 'smooth', 'silki', 'keep', 'leas', 'twice', 'per', 'week']",Undisclosed,Multi-Vitamin Thermafoliant,112,23,3.9130434782608696,0.0,0
"extraordinary mask, evens out tone,","['extraordinari', 'mask', 'even', 'tone', 'make', 'skin', 'sparkl']",Undisclosed,Multi-Vitamin Thermafoliant,60,9,5.777777777777778,0.0,0
My favorite product!,"['favorit', 'favorit', 'dermalogica', 'product', 'heat', 'action', 'seem', 'help', 'deep', 'clean', 'skin', 'pore', 'refin', 'skin', 'feel', 'soft', 'clean', 'love']",Undisclosed,Multi-Vitamin Thermafoliant,171,31,4.548387096774194,0.9062,1
super effective exfoliant,"['use', 'scrub', 'altern', 'chemic', 'exfoli', 'like', 'lactic', 'acid', 'cleanser', 'glycol', 'peel', 'love', 'warm', 'aspect', 'fun', 'use', 'realli', 'notic', 'muddi', 'skin', 'textur', 'forget', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,220,39,4.666666666666667,0.875,1
Great! Makes my skin feel,"['great', 'make', 'skin', 'feel', 'delici', 'soft', 'smooth']",Undisclosed,Multi-Vitamin Thermafoliant,54,9,5.111111111111111,0.6249,1
Fantastic,"['make', 'skin', 'feel', 'smooth', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,44,9,4.0,0.0,0
thermafoliant,"['love', 'thermafoli']",Undisclosed,Multi-Vitamin Thermafoliant,23,3,7.0,0.6369,1
A must have,"['best', 'skin', 'smooth', 'glow']",Undisclosed,Multi-Vitamin Thermafoliant,34,7,4.0,0.6369,1
My Favorite Exfoliant,"['anoth', 'dermalogica', 'product', 'ad', 'regim', 'perfect', 'amount', 'exfoli', 'love', 'warm', 'sensat', 'alway', 'leav', 'skin', 'smooth', 'hydrat']",Abq,Multi-Vitamin Thermafoliant,158,25,5.36,0.8689,1
This is my all time,"['time', 'favorit', 'cleanser', 'skin', 'feel', 'smooth', 'freshli', 'clean', 'use', 'wish', 'could', 'use', 'everyday', 'use', 'approxim', '3', 'time', 'week', 'mani', 'compliment', 'skin']",Undisclosed,Multi-Vitamin Thermafoliant,202,39,4.205128205128205,0.8176,1
Great thermal exfoliation,"['love', 'smell', 'warm', 'exfoli', 'skin', 'feel', 'polish', 'clean', 'afterward']",Undisclosed,Multi-Vitamin Thermafoliant,81,13,5.3076923076923075,0.8316,1
One of my favorites of,"['one', 'favorit', 'demalogica', 'make', 'skin', 'smooth', 'face', 'soak', 'serum', 'moistur', 'use', 'alway', 'nice', 'glow', 'day', 'use']",Undisclosed,Multi-Vitamin Thermafoliant,166,32,4.21875,0.4215,1
Love!!,"['love', 'product', 'leav', 'face', 'feel', 'soft', 'renew', 'one', 'favorit']",Undisclosed,Multi-Vitamin Thermafoliant,79,15,4.333333333333333,0.6369,1
